Algorithm, Steps, Collisions, Error Ratio
"Hill climb", 4.06 +- 0.935093578205, 1.248 +- 0.759273336816, 84.6% +- 36.0948749825
"Genetic", 7.96 +- 7.18598636236, 0.0 +- 0.0, 0.0% +- 0.0
